location,price_per_month,bed num,bath num,sqft,url of rental info,latitude,longitude
"El Camino Loop,Staten island,NY,10309",1250.0,1,1.0,500.0,https://www.zillow.com/homedetails/El-Camino-Loop-Staten-Island-NY-10309/2085316133_zpid/,40.5373175,-74.2137797
"214 Sheldon Ave # 1,Staten Island,NY,10312",1250.0,1,1.0,450.0,https://www.zillow.com/homedetails/214-Sheldon-Ave-1-Staten-Island-NY-10312/2085014941_zpid/,40.5471535,-74.1840649
"Wilbur St,Staten Island,NY,10309",1250.0,1,1.0,600.0,https://www.zillow.com/homedetails/Wilbur-St-Staten-Island-NY-10309/2089651732_zpid/,40.515167,-74.1954296
"95th Ave,Jamaica,NY,11416",1250.0,1,1.0,725.0,https://www.zillow.com/homedetails/95th-Ave-Jamaica-NY-11416/2088455229_zpid/,40.691154,-73.830595
"Rensselaer Ave,STATEN ISLAND,NY,10309",1250.0,1,1.0,725.0,https://www.zillow.com/homedetails/Rensselaer-Ave-Staten-Island-NY-10309/2085558697_zpid/,40.538683,-74.20263640000002
"205 Gower St # 1,Staten Island,NY,10314",1250.0,1,1.0,725.0,https://www.zillow.com/homedetails/205-Gower-St-1-Staten-Island-NY-10314/2085334841_zpid/,40.60756019999999,-74.12374369999999
"300 Cortelyou Ave APT B3,Staten Island,NY,10312",1250.0,1,1.0,500.0,https://www.zillow.com/homedetails/300-Cortelyou-Ave-APT-B3-Staten-Island-NY-10312/2086782520_zpid/,40.5521699,-74.16337899999999
"34 Windsor Ct,Staten Island,NY,10314",1250.0,1,1.0,500.0,https://www.zillow.com/homedetails/34-Windsor-Ct-Staten-Island-NY-10314/32288802_zpid/,40.61307499999999,-74.11562099999999
"Sinclair Ave,Staten Island,NY,10312",1250.0,1,1.0,1170.0,https://www.zillow.com/homedetails/Sinclair-Ave-Staten-Island-NY-10312/2085028010_zpid/,40.5418586,-74.1967069
"106 South Ave,Staten Island,NY,10303",1250.0,1,1.0,1170.0,https://www.zillow.com/homedetails/106-South-Ave-Staten-Island-NY-10303/64710696_zpid/,40.637402,-74.16651
"E 213th St,Bronx,NY,10467",1250.0,1,1.0,556.0,https://www.zillow.com/homedetails/E-213th-St-Bronx-NY-10467/2085013211_zpid/,40.878253,-73.86162399999999
"610 Victory Blvd APT 1B,Staten Island,NY,10301",1299.0,1,1.0,556.0,https://www.zillow.com/homedetails/610-Victory-Blvd-APT-1B-Staten-Island-NY-10301/2085551286_zpid/,40.6276638,-74.0904554
"6 Garibaldi Ave # B,Staten Island,NY,10306",1300.0,1,1.0,2690.0,https://www.zillow.com/homedetails/6-Garibaldi-Ave-B-Staten-Island-NY-10306/2088289954_zpid/,40.5625467,-74.1024087
"8700 109th St,Richmond Hill,NY,11418",1300.0,1,1.0,693.0,https://www.zillow.com/homedetails/8700-109th-St-Richmond-Hill-NY-11418/2085318002_zpid/,40.6956583,-73.8389563
"133-10 101 Avenue Richmond Hill Ny # FL 1ST,Queens,NY,11419",1300.0,1,1.0,693.0,https://www.zillow.com/homedetails/133-10-101-Avenue-Richmond-Hill-Ny-FL-1ST-Queens-NY-11419/2085658147_zpid/,40.6931069,-73.81407229999999
"4193 Amboy Rd APT 2A,Staten Island,NY,10308",1300.0,1,1.0,693.0,https://www.zillow.com/homedetails/4193-Amboy-Rd-APT-2A-Staten-Island-NY-10308/32352727_zpid/,40.54808209999999,-74.1562462
"363 Darlington Ave,Staten Island,NY,10312",1300.0,1,1.0,750.0,https://www.zillow.com/homedetails/363-Darlington-Ave-Staten-Island-NY-10312/32368840_zpid/,40.53573790000001,-74.1977778
"10710 Muriel Ct,Ozone Park,NY,11417",1300.0,1,1.0,1024.0,https://www.zillow.com/homedetails/10710-Muriel-Ct-Ozone-Park-NY-11417/2095458410_zpid/,40.6773624,-73.83197969999999
"215 Van Name Ave,Staten Island,NY,10303",1300.0,1,1.0,1024.0,https://www.zillow.com/homedetails/215-Van-Name-Ave-Staten-Island-NY-10303/2095994595_zpid/,40.6307821,-74.1535904
"12056 232nd St,Jamaica,NY,11411",1300.0,1,1.0,1024.0,https://www.zillow.com/homedetails/12056-232nd-St-Jamaica-NY-11411/32198163_zpid/,40.685611,-73.73323599999999
"Putnam Pl,Bronx,NY,10467",1300.0,1,1.0,400.0,https://www.zillow.com/homedetails/Putnam-Pl-Bronx-NY-10467/2091477072_zpid/,40.8795739,-73.875367
"232 Buttrick Ave # 1,Bronx,NY,10465",1300.0,1,1.0,400.0,https://www.zillow.com/homedetails/232-Buttrick-Ave-1-Bronx-NY-10465/2085073194_zpid/,40.814509,-73.823762
"E 213th St,Bronx,NY,10469",1300.0,1,1.0,400.0,https://www.zillow.com/homedetails/E-213th-St-Bronx-NY-10469/2085498108_zpid/,40.877066,-73.85721699999999
"Nelson Ave,Bronx,NY,10452",1300.0,1,1.0,400.0,https://www.zillow.com/homedetails/Nelson-Ave-Bronx-NY-10452/2102383560_zpid/,40.8397719,-73.9239657
"Tysens Ln,Staten Island,NY,10306",1300.0,1,1.0,500.0,https://www.zillow.com/homedetails/Tysens-Ln-Staten-Island-NY-10306/2086142713_zpid/,40.5653606,-74.1187537
"Bedell Ave,Staten Island,NY,10307",1300.0,1,1.0,500.0,https://www.zillow.com/homedetails/Bedell-Ave-Staten-Island-NY-10307/2085014149_zpid/,40.5086609,-74.23369389999999
"Parsons Blvd,Fresh Meadows,NY,11366",1300.0,2,1.0,500.0,https://www.zillow.com/homedetails/Parsons-Blvd-Fresh-Meadows-NY-11366/2085072929_zpid/,40.7274343,-73.8110392
